ProductId,NumberOfReviews,AverageScore,AverageHelpfulnessRatio,AverageReviewLength,RecommendationScore
B004ZWK338,6,5.0,1.0,382.6666666666667,3.8
B001VNEC68,6,5.0,1.0,644.8333333333334,3.8
B003P9XGE0,6,5.0,1.0,752.5,3.8
B003G52K5E,5,5.0,1.0,291.4,3.8
B000HQND56,7,5.0,1.0,322.57142857142856,3.8
B001EO5RBS,5,5.0,1.0,181.8,3.8
B003U2MDGO,5,5.0,1.0,235.2,3.8
B000I6O6RO,5,5.0,1.0,322.0,3.8
B000UCIBX6,5,5.0,1.0,594.8,3.8
B003752LCU,5,5.0,1.0,522.8,3.8
B001ELL706,6,5.0,1.0,333.8333333333333,3.8
B0056WJGHK,6,5.0,0.986111111111111,506.3333333333333,3.7958333333333334
B0013JQON4,5,5.0,0.9692307692307691,293.8,3.790769230769231
B000EMM8NG,9,5.0,0.9523809523809523,570.3333333333334,3.7857142857142856
B001FVNM4Y,9,5.0,0.9382716049382717,347.22222222222223,3.7814814814814817
B001VNEB3C,10,5.0,0.9199999999999999,408.3,3.776
B002KGN4LE,6,5.0,0.9166666666666666,1622.1666666666667,3.775
B00028HN64,11,5.0,0.9090909090909091,1142.8181818181818,3.7727272727272725
B000RJARJS,9,5.0,0.8888888888888888,487.22222222222223,3.7666666666666666
B0001M0Z3O,13,5.0,0.8846153846153846,212.30769230769232,3.7653846153846153
B004ALGNQ0,6,5.0,0.875,203.33333333333334,3.7625
B002GC3EJY,8,5.0,0.875,223.0,3.7625
B000KFY5RO,9,5.0,0.8666666666666667,486.44444444444446,3.76
B000LLXBKY,5,5.0,0.86,294.8,3.758
B000UCOQV2,9,5.0,0.8595238095238096,215.11111111111111,3.757857142857143
B001EO5WF4,7,5.0,0.8571428571428571,181.71428571428572,3.757142857142857
B0001G6VNS,7,5.0,0.8571428571428571,427.85714285714283,3.757142857142857
B000E1BMYI,7,5.0,0.8571428571428571,208.57142857142858,3.757142857142857
B002N4O8WC,13,5.0,0.8461538461538461,903.6923076923077,3.753846153846154
B00020UGNE,8,5.0,0.84375,528.75,3.753125
B0039QS496,7,5.0,0.8428571428571429,415.85714285714283,3.7528571428571427
B0000DG5AN,6,5.0,0.8333333333333334,692.8333333333334,3.75
B000G17Y9I,6,5.0,0.8333333333333334,375.0,3.75
B0019JTH96,6,5.0,0.8333333333333334,422.1666666666667,3.75
B002SM5K62,6,5.0,0.8333333333333334,337.8333333333333,3.75
B000H1CO74,6,5.0,0.8333333333333334,407.5,3.75
B001FA1KXU,7,5.0,0.826530612244898,403.14285714285717,3.7479591836734696
B003AYEHOI,6,5.0,0.8055555555555555,412.0,3.7416666666666667
B00149FT0M,5,5.0,0.8,233.2,3.74
B001EO5RMM,5,5.0,0.8,985.6,3.74
B001EO63UM,5,5.0,0.8,464.4,3.74
B0008IT47E,5,5.0,0.8,247.0,3.74
B007CD12GO,5,5.0,0.8,412.4,3.74
B005BV0RLA,5,5.0,0.8,618.8,3.74
B00351JX8G,5,5.0,0.8,198.4,3.74
B001HBVDY8,5,5.0,0.8,200.6,3.74
B000OQ2DJ6,5,5.0,0.8,793.6,3.74
B000I4H2GS,5,5.0,0.8,426.6,3.74
B005RF029M,5,5.0,0.8,388.2,3.74
B00207UBMS,5,5.0,0.8,323.6,3.74
B002YRBAQK,5,5.0,0.8,912.4,3.74
B000MD92C2,8,5.0,0.7875,270.125,3.73625
B000E1FYJW,9,5.0,0.7777777777777778,258.22222222222223,3.7333333333333334
B0002F5CBA,9,5.0,0.7777777777777778,342.6666666666667,3.7333333333333334
B001A47SIW,13,5.0,0.7692307692307693,261.9230769230769,3.730769230769231
B000GJF5AA,5,5.0,0.7666666666666667,322.4,3.73
B000CMF178,5,5.0,0.7666666666666667,280.0,3.73
B000WMPGDW,9,5.0,0.7555555555555555,290.1111111111111,3.7266666666666666
B003ZX2PX4,5,5.0,0.75,432.8,3.725
B001228QWY,8,5.0,0.75,323.625,3.725
B001LQTDXM,8,5.0,0.75,485.625,3.725
B000EGZ99W,8,5.0,0.75,267.625,3.725
B0079LSXQ6,5,5.0,0.7333333333333333,461.4,3.7199999999999998
B000LKUA7M,11,5.0,0.7272727272727273,446.90909090909093,3.7181818181818183
B0011DQSFQ,5,5.0,0.7266666666666667,242.2,3.718
B001QEF4XC,12,4.916666666666667,0.9166666666666666,462.9166666666667,3.716666666666667
B0000V828G,7,5.0,0.7142857142857143,454.57142857142856,3.7142857142857144
B0000CDBRJ,7,5.0,0.7142857142857143,469.7142857142857,3.7142857142857144
B000EFBMA8,8,5.0,0.7083333333333334,502.25,3.7125
B004U49R2Y,8,4.875,1.0,501.75,3.7124999999999995
B000H25VR8,8,4.875,1.0,223.25,3.7124999999999995
B000QV0M6A,6,5.0,0.7076923076923077,194.5,3.712307692307692
B002CIKVOS,5,5.0,0.7,668.8,3.71
B000WJRBXS,8,5.0,0.6875,389.375,3.70625
B000LDXS2S,11,4.909090909090909,0.893939393939394,264.1818181818182,3.704545454545454
B000VB4TSM,5,5.0,0.6746031746031746,824.6,3.7023809523809526
