SegmentName,ProductId,NumberOfReviews,AverageScore,AverageHelpfulnessRatio,AverageReviewLength,RecommendationScore
Critical Customers,B000H23ZF8,3,4.333333333333333,0.3333333333333333,585.6666666666666,3.133333333333333
Critical Customers,B003YBJ9JA,3,4.0,0.3333333333333333,317.6666666666667,2.9
Critical Customers,B001FB6C4Q,3,3.6666666666666665,1.0,391.6666666666667,2.8666666666666663
Critical Customers,B000H7ELTM,6,3.6666666666666665,0.9730555555555555,441.6666666666667,2.858583333333333
Critical Customers,B000EDKDVY,5,3.6,0.95,277.6,2.805
Critical Customers,B000E1FZ4Q,3,3.6666666666666665,0.7055555555555556,710.6666666666666,2.7783333333333333
Critical Customers,B000E1697S,3,3.6666666666666665,0.5263157894736842,540.0,2.7245614035087717
Critical Customers,B0001LQKBQ,3,3.6666666666666665,0.4666666666666666,775.3333333333334,2.7066666666666666
Critical Customers,B002ATEZOG,3,3.6666666666666665,0.4444444444444444,549.0,2.6999999999999997
Critical Customers,B000AYFBY6,3,3.6666666666666665,0.38888888888888884,316.3333333333333,2.683333333333333
Critical Customers,B001GQ3E28,4,3.5,0.75,337.75,2.675
Critical Customers,B004F1LNDI,3,3.6666666666666665,0.3333333333333333,526.0,2.6666666666666665
Critical Customers,B006J4MAIQ,13,3.6923076923076925,0.19230769230769232,763.1538461538462,2.6423076923076922
Critical Customers,B00018CX60,3,3.3333333333333335,1.0,300.0,2.6333333333333333
Critical Customers,B0006SKCVI,3,3.6666666666666665,0.1111111111111111,226.66666666666666,2.5999999999999996
Critical Customers,B005QRPH78,9,3.5555555555555554,0.32407407407407407,1222.888888888889,2.586111111111111
Critical Customers,B003LECIDE,3,3.6666666666666665,0.05128205128205129,1249.0,2.5820512820512818
Critical Customers,B003EMXIV4,3,3.6666666666666665,0.0,236.66666666666666,2.5666666666666664
Critical Customers,B004JWS0CA,3,3.3333333333333335,0.6666666666666666,308.0,2.5333333333333337
Critical Customers,B001FA1KU8,6,3.3333333333333335,0.5824074074074074,317.6666666666667,2.5080555555555555
Critical Customers,B002NLY0QE,5,3.4,0.4,332.0,2.5
Critical Customers,B004LWCSHQ,4,3.25,0.75,402.0,2.5
Critical Customers,B0045XE32E,49,3.4489795918367347,0.26874797538062845,804.6530612244898,2.4949101068999027
Critical Customers,B000F4H5FE,3,3.3333333333333335,0.5,821.3333333333334,2.4833333333333334
Critical Customers,B001E5E0YW,3,3.3333333333333335,0.5,1973.6666666666667,2.4833333333333334
Critical Customers,B001E5E20O,10,3.3,0.569047619047619,672.6,2.4807142857142854
Critical Customers,B000EPOC2S,8,3.375,0.3055555555555556,293.75,2.4541666666666666
Critical Customers,B001ELL3DM,5,3.2,0.7,586.8,2.4499999999999997
Critical Customers,B00376T0JG,4,3.25,0.5833333333333334,418.0,2.4499999999999997
Critical Customers,B000HJNAWY,3,3.3333333333333335,0.3333333333333333,205.66666666666666,2.4333333333333336
Critical Customers,B0015G862M,3,3.3333333333333335,0.3333333333333333,528.0,2.4333333333333336
Critical Customers,B004H0XSKS,3,3.3333333333333335,0.3333333333333333,238.66666666666666,2.4333333333333336
Critical Customers,B001AHJ2D8,13,3.230769230769231,0.5538461538461539,486.6923076923077,2.4276923076923076
Critical Customers,B001EPQQL2,3,3.3333333333333335,0.2333333333333333,160.66666666666666,2.4033333333333333
Critical Customers,B002TMV3E4,11,3.3636363636363638,0.1515151515151515,744.1818181818181,2.4
Critical Customers,B001HTKQ3O,3,3.0,1.0,423.6666666666667,2.3999999999999995
Critical Customers,B000633V3O,3,3.3333333333333335,0.19999999999999998,440.3333333333333,2.3933333333333335
Critical Customers,B000UXWQMC,4,3.25,0.375,350.0,2.3874999999999997
Critical Customers,B000YUOY30,4,3.0,0.95,627.5,2.385
Critical Customers,B000FDKQCY,6,3.1666666666666665,0.5349206349206349,258.6666666666667,2.377142857142857
Critical Customers,B001OCKIP0,30,3.3,0.18055555555555555,827.7,2.3641666666666663
Critical Customers,B000FYYOZI,4,3.25,0.25,467.0,2.35
Critical Customers,B002LFBA8S,4,3.0,0.8136363636363636,276.5,2.344090909090909
Critical Customers,B000EM8KZ6,3,3.0,0.7999999999999999,315.0,2.3399999999999994
Critical Customers,B0002ZILVI,3,3.3333333333333335,0.0,422.0,2.3333333333333335
Critical Customers,B001FKA84C,3,3.3333333333333335,0.0,329.6666666666667,2.3333333333333335
Critical Customers,B0052BRW8U,3,3.3333333333333335,0.0,310.6666666666667,2.3333333333333335
Critical Customers,B005BPVE90,6,3.3333333333333335,0.0,532.6666666666666,2.3333333333333335
Critical Customers,B001ESKSEA,3,3.0,0.7619047619047619,187.66666666666666,2.3285714285714283
Critical Customers,B000I6PXLC,3,3.0,0.7142857142857143,366.0,2.314285714285714
Critical Customers,B000E7WM0K,5,3.0,0.7,553.2,2.3099999999999996
Critical Customers,B004R8J8E0,12,3.25,0.10416666666666667,1066.4166666666667,2.30625
Critical Customers,B0001W2W62,8,3.0,0.6666666666666666,697.375,2.3
Critical Customers,B000LWMOCE,3,3.0,0.6666666666666666,308.6666666666667,2.3
Critical Customers,B0019978P6,3,3.0,0.6666666666666666,598.6666666666666,2.3
Critical Customers,B0039K56D4,3,3.0,0.6666666666666666,124.33333333333333,2.3
Critical Customers,B004J0PJ44,3,3.0,0.6666666666666666,195.0,2.3
Critical Customers,B006BXUVPY,12,3.1666666666666665,0.23611111111111113,583.0833333333334,2.2874999999999996
Critical Customers,B000M36L9E,4,3.0,0.5873397435897436,350.25,2.276201923076923
Critical Customers,B0017WFX6G,3,3.0,0.5873015873015873,644.0,2.2761904761904757
Critical Customers,B004K0630W,4,3.25,0.0,294.0,2.275
Critical Customers,B000FFPXJ8,5,3.2,0.1,450.4,2.2699999999999996
Critical Customers,B000GTFL90,3,3.0,0.5555555555555555,306.6666666666667,2.266666666666666
Critical Customers,B0025UON1A,3,3.0,0.5555555555555555,830.0,2.266666666666666
Critical Customers,B00008JOL0,9,3.111111111111111,0.28787878787878785,306.22222222222223,2.264141414141414
Critical Customers,B004R8J8EK,6,3.1666666666666665,0.13888888888888887,519.6666666666666,2.258333333333333
Critical Customers,B00503DP0O,24,3.0833333333333335,0.33194444444444443,774.625,2.2579166666666666
Critical Customers,B0001FQVCA,3,3.0,0.5236111111111111,326.3333333333333,2.257083333333333
Critical Customers,B0041QD39O,6,3.0,0.5158730158730159,448.1666666666667,2.2547619047619043
Critical Customers,B000F959NO,3,3.0,0.5,373.0,2.2499999999999996
Critical Customers,B000K7644E,4,3.0,0.5,679.0,2.2499999999999996
Critical Customers,B003ZXFWZC,4,3.0,0.5,363.0,2.2499999999999996
Critical Customers,B0046IBYBG,3,3.0,0.4666666666666666,473.3333333333333,2.2399999999999998
Critical Customers,B000DZKKK2,8,3.0,0.4375,427.25,2.2312499999999997
Critical Customers,B002AQLO4S,4,3.0,0.4375,382.75,2.2312499999999997
Critical Customers,B005CT8R90,4,3.0,0.4270833333333333,673.75,2.2281249999999995
Critical Customers,B000BF54MS,3,3.0,0.4222222222222222,309.0,2.226666666666666
Critical Customers,B000WFGOX0,4,3.0,0.375,344.75,2.2124999999999995
Critical Customers,B003VIWN1W,4,3.0,0.375,344.75,2.2124999999999995
Critical Customers,B004Q70FAI,5,3.0,0.36,282.8,2.2079999999999997
Critical Customers,B001E6EJX8,5,2.8,0.8142857142857143,761.8,2.204285714285714
Critical Customers,B002NHYQAS,57,3.087719298245614,0.13157894736842105,708.9649122807018,2.2008771929824555
